defect_id,defect_date,vendor_name,plant,material_type,defect_type,defect_quantity,downtime_minutes,impact_level
DEF-00001,2024-11-01,BlueLine Services,Mexico City Plant,Machine Parts,Rejected,42,586,Medium
DEF-00002,2024-04-18,BlueLine Services,Mexico City Plant,Packaging,Impact,1721,352,Low
DEF-00003,2024-04-09,Global Parts Co,Detroit Plant,Machine Parts,Rejected,1809,258,High
DEF-00004,2024-02-07,Summit Packaging,Troy Plant,Hardware,Rejected,3779,562,Low
DEF-00005,2024-06-18,NexGen Maintenance,Detroit Plant,Packaging,Rejected,4757,498,Medium
DEF-00006,2024-06-11,Vertex Components,Toronto Plant,Hardware,No Impact,572,198,High
DEF-00007,2024-10-16,Omega Office Supplies,Atlanta Plant,Hardware,Rework,4786,156,Low
DEF-00008,2024-05-06,Prime Hardware,Toronto Plant,Hardware,No Impact,40,320,Low
DEF-00009,2024-08-24,Vertex Components,Atlanta Plant,Hardware,Rework,2717,491,High
DEF-00010,2024-11-26,Omega Office Supplies,Troy Plant,Hardware,Impact,892,179,High
DEF-00011,2024-11-16,Global Parts Co,Troy Plant,Raw Materials,Rejected,1610,269,High
DEF-00012,2024-10-29,Prime Hardware,Troy Plant,Machine Parts,No Impact,4743,414,High
DEF-00013,2024-11-30,Metro Logistics,Atlanta Plant,Corrugate,Impact,4422,483,High
DEF-00014,2024-08-25,Rapid Freight,Mexico City Plant,Raw Materials,Rework,2384,137,Medium
DEF-00015,2024-12-05,Prime Hardware,Mexico City Plant,Packaging,Impact,4114,10,Medium
DEF-00016,2024-10-16,Omega Office Supplies,Detroit Plant,Corrugate,No Impact,1305,183,Low
DEF-00017,2024-04-28,Global Parts Co,Atlanta Plant,Hardware,Impact,1793,499,Low
DEF-00018,2024-07-03,BlueLine Services,Toronto Plant,Corrugate,Rejected,1694,530,Low
DEF-00019,2024-12-26,Rapid Freight,Atlanta Plant,Hardware,Impact,2655,105,Medium
DEF-00020,2024-10-27,Global Parts Co,Mexico City Plant,Hardware,Rework,3101,374,Low
DEF-00021,2024-06-29,NexGen Maintenance,Toronto Plant,Corrugate,Rejected,4231,415,High
DEF-00022,2024-03-25,Prime Hardware,Troy Plant,Machine Parts,No Impact,1139,450,Low
DEF-00023,2024-03-21,NexGen Maintenance,Mexico City Plant,Raw Materials,Impact,1231,191,Medium
DEF-00024,2024-09-03,Vertex Components,Toronto Plant,Packaging,Impact,2706,116,High
DEF-00025,2024-05-04,Alpha Industrial Supplies,Detroit Plant,Machine Parts,Impact,3367,22,Low
DEF-00026,2024-10-20,Metro Logistics,Troy Plant,Packaging,No Impact,4200,40,Low
DEF-00027,2024-11-02,Omega Office Supplies,Troy Plant,Hardware,Rejected,4233,415,Low
DEF-00028,2024-09-03,Metro Logistics,Detroit Plant,Corrugate,Impact,3680,482,High
DEF-00029,2024-05-15,Metro Logistics,Atlanta Plant,Corrugate,Rejected,1490,523,Low
DEF-00030,2024-03-08,Global Parts Co,Troy Plant,Packaging,Rework,3099,394,Low
DEF-00031,2024-03-31,Vertex Components,Mexico City Plant,Machine Parts,Rejected,4961,98,High
DEF-00032,2024-02-17,Vertex Components,Detroit Plant,Machine Parts,Rejected,4124,120,High
DEF-00033,2024-08-03,NexGen Maintenance,Troy Plant,Machine Parts,Rework,3535,534,Low
DEF-00034,2024-06-28,Omega Office Supplies,Mexico City Plant,Raw Materials,Rework,3950,390,Low
DEF-00035,2024-04-29,Global Parts Co,Atlanta Plant,Machine Parts,Rework,2086,488,Medium
DEF-00036,2024-12-29,Alpha Industrial Supplies,Mexico City Plant,Machine Parts,Rejected,1549,5,High
DEF-00037,2024-12-01,Prime Hardware,Atlanta Plant,Corrugate,No Impact,59,384,Low
DEF-00038,2024-11-29,Omega Office Supplies,Atlanta Plant,Hardware,Rework,1268,436,High
DEF-00039,2024-12-14,BlueLine Services,Detroit Plant,Corrugate,Rework,2996,282,Low
DEF-00040,2024-10-11,Vertex Components,Atlanta Plant,Hardware,No Impact,3033,572,High
DEF-00041,2024-12-03,Global Parts Co,Detroit Plant,Corrugate,Impact,3262,141,Low
DEF-00042,2024-07-24,NexGen Maintenance,Mexico City Plant,Machine Parts,Rejected,1757,520,Low
DEF-00043,2024-02-16,Metro Logistics,Toronto Plant,Machine Parts,Rework,3188,5,Low
DEF-00044,2024-04-23,NexGen Maintenance,Troy Plant,Machine Parts,Rejected,525,269,High
DEF-00045,2024-11-10,Rapid Freight,Atlanta Plant,Machine Parts,Rejected,3149,410,Low
DEF-00046,2024-01-06,Prime Hardware,Mexico City Plant,Hardware,Impact,4050,449,Low
DEF-00047,2024-09-21,Prime Hardware,Mexico City Plant,Packaging,Rejected,4912,522,Medium
DEF-00048,2024-03-21,Global Parts Co,Atlanta Plant,Corrugate,No Impact,1960,0,High
DEF-00049,2024-10-27,Prime Hardware,Mexico City Plant,Raw Materials,Rejected,3238,415,Low
DEF-00050,2024-10-13,Omega Office Supplies,Atlanta Plant,Hardware,No Impact,4503,291,Low
DEF-00051,2024-08-20,BlueLine Services,Mexico City Plant,Raw Materials,No Impact,4968,199,Low
DEF-00052,2024-02-24,Rapid Freight,Troy Plant,Machine Parts,No Impact,3336,518,Medium
DEF-00053,2024-05-11,Rapid Freight,Mexico City Plant,Hardware,Rework,959,525,Medium
DEF-00054,2024-05-04,NexGen Maintenance,Toronto Plant,Corrugate,Rejected,4614,495,Medium
DEF-00055,2024-02-04,BlueLine Services,Detroit Plant,Packaging,No Impact,953,264,Medium
DEF-00056,2024-10-01,Alpha Industrial Supplies,Atlanta Plant,Packaging,No Impact,2893,528,Low
DEF-00057,2024-02-08,Rapid Freight,Detroit Plant,Corrugate,No Impact,3269,350,Medium
DEF-00058,2024-05-17,Metro Logistics,Detroit Plant,Corrugate,Impact,1791,587,Low
DEF-00059,2024-04-15,Prime Hardware,Detroit Plant,Packaging,No Impact,1983,271,Low
DEF-00060,2024-02-10,Vertex Components,Mexico City Plant,Raw Materials,Rejected,874,122,Medium
DEF-00061,2024-09-09,Omega Office Supplies,Atlanta Plant,Corrugate,Impact,3041,322,High
DEF-00062,2024-04-23,Omega Office Supplies,Detroit Plant,Raw Materials,Rework,2296,407,Medium
DEF-00063,2024-09-14,NexGen Maintenance,Toronto Plant,Packaging,Rework,4430,33,Low
DEF-00064,2024-06-10,Alpha Industrial Supplies,Troy Plant,Packaging,Rework,4246,471,High
DEF-00065,2024-07-04,Omega Office Supplies,Atlanta Plant,Packaging,No Impact,826,333,Low
DEF-00066,2024-11-09,NexGen Maintenance,Atlanta Plant,Packaging,Rework,2207,482,Medium
DEF-00067,2024-12-24,NexGen Maintenance,Atlanta Plant,Corrugate,No Impact,1725,429,Medium
DEF-00068,2024-03-08,Omega Office Supplies,Detroit Plant,Raw Materials,No Impact,1474,585,Low
DEF-00069,2024-07-14,Prime Hardware,Detroit Plant,Packaging,Rework,4550,442,Low
DEF-00070,2024-09-12,Metro Logistics,Mexico City Plant,Machine Parts,No Impact,1447,431,Medium
DEF-00071,2024-10-14,Omega Office Supplies,Troy Plant,Corrugate,Rejected,2458,256,High
DEF-00072,2024-04-20,Summit Packaging,Toronto Plant,Raw Materials,Rework,1339,61,High
DEF-00073,2024-07-03,NexGen Maintenance,Mexico City Plant,Machine Parts,No Impact,2742,266,Medium
DEF-00074,2024-03-03,NexGen Maintenance,Mexico City Plant,Packaging,Impact,163,421,Medium
DEF-00075,2024-12-10,Rapid Freight,Toronto Plant,Corrugate,Rejected,2910,332,Medium
DEF-00076,2024-11-19,Metro Logistics,Detroit Plant,Hardware,Rework,2348,474,High
DEF-00077,2024-02-06,Global Parts Co,Detroit Plant,Hardware,Impact,4683,414,Medium
DEF-00078,2024-12-29,Summit Packaging,Mexico City Plant,Corrugate,No Impact,2596,298,Medium
DEF-00079,2024-08-18,BlueLine Services,Detroit Plant,Packaging,Rejected,2976,533,Low
DEF-00080,2024-12-24,Global Parts Co,Detroit Plant,Packaging,Rework,1923,257,Low
DEF-00081,2024-08-30,Rapid Freight,Troy Plant,Raw Materials,Rework,783,65,High
DEF-00082,2024-05-14,Omega Office Supplies,Detroit Plant,Raw Materials,Rework,682,106,Medium
DEF-00083,2024-05-25,Vertex Components,Detroit Plant,Packaging,Impact,1879,253,Low
DEF-00084,2024-06-15,Vertex Components,Toronto Plant,Machine Parts,No Impact,288,365,High
DEF-00085,2024-12-23,Rapid Freight,Detroit Plant,Machine Parts,Rework,3645,138,High
DEF-00086,2024-09-25,Rapid Freight,Atlanta Plant,Hardware,Rework,4621,445,High
DEF-00087,2024-08-14,Summit Packaging,Atlanta Plant,Corrugate,No Impact,1861,91,Low
