defect_id,defect_date,vendor_name,plant,material_type,defect_type,defect_quantity,downtime_minutes,impact_level,year,month,month_name,quarter,supplier_quality_risk
DEF-00001,2024-11-01,BlueLine Services,Mexico City Plant,Machine Parts,Rejected,42,586,Medium,2024,11,November,Q4,High Risk
DEF-00002,2024-04-18,BlueLine Services,Mexico City Plant,Packaging,Impact,1721,352,Low,2024,4,April,Q2,High Risk
DEF-00003,2024-04-09,Global Parts Co,Detroit Plant,Machine Parts,Rejected,1809,258,High,2024,4,April,Q2,Normal Risk
DEF-00004,2024-02-07,Summit Packaging,Troy Plant,Hardware,Rejected,3779,562,Low,2024,2,February,Q1,High Risk
DEF-00005,2024-06-18,NexGen Maintenance,Detroit Plant,Packaging,Rejected,4757,498,Medium,2024,6,June,Q2,High Risk
DEF-00006,2024-06-11,Vertex Components,Toronto Plant,Hardware,No Impact,572,198,High,2024,6,June,Q2,Normal Risk
DEF-00007,2024-10-16,Omega Office Supplies,Atlanta Plant,Hardware,Rework,4786,156,Low,2024,10,October,Q4,High Risk
DEF-00008,2024-05-06,Prime Hardware,Toronto Plant,Hardware,No Impact,40,320,Low,2024,5,May,Q2,High Risk
DEF-00009,2024-08-24,Vertex Components,Atlanta Plant,Hardware,Rework,2717,491,High,2024,8,August,Q3,High Risk
DEF-00010,2024-11-26,Omega Office Supplies,Troy Plant,Hardware,Impact,892,179,High,2024,11,November,Q4,Normal Risk
DEF-00011,2024-11-16,Global Parts Co,Troy Plant,Raw Materials,Rejected,1610,269,High,2024,11,November,Q4,Normal Risk
DEF-00012,2024-10-29,Prime Hardware,Troy Plant,Machine Parts,No Impact,4743,414,High,2024,10,October,Q4,High Risk
DEF-00013,2024-11-30,Metro Logistics,Atlanta Plant,Corrugate,Impact,4422,483,High,2024,11,November,Q4,High Risk
DEF-00014,2024-08-25,Rapid Freight,Mexico City Plant,Raw Materials,Rework,2384,137,Medium,2024,8,August,Q3,Normal Risk
DEF-00015,2024-12-05,Prime Hardware,Mexico City Plant,Packaging,Impact,4114,10,Medium,2024,12,December,Q4,High Risk
DEF-00016,2024-10-16,Omega Office Supplies,Detroit Plant,Corrugate,No Impact,1305,183,Low,2024,10,October,Q4,Normal Risk
DEF-00017,2024-04-28,Global Parts Co,Atlanta Plant,Hardware,Impact,1793,499,Low,2024,4,April,Q2,High Risk
DEF-00018,2024-07-03,BlueLine Services,Toronto Plant,Corrugate,Rejected,1694,530,Low,2024,7,July,Q3,High Risk
DEF-00019,2024-12-26,Rapid Freight,Atlanta Plant,Hardware,Impact,2655,105,Medium,2024,12,December,Q4,Normal Risk
DEF-00020,2024-10-27,Global Parts Co,Mexico City Plant,Hardware,Rework,3101,374,Low,2024,10,October,Q4,High Risk
DEF-00021,2024-06-29,NexGen Maintenance,Toronto Plant,Corrugate,Rejected,4231,415,High,2024,6,June,Q2,High Risk
DEF-00022,2024-03-25,Prime Hardware,Troy Plant,Machine Parts,No Impact,1139,450,Low,2024,3,March,Q1,High Risk
DEF-00023,2024-03-21,NexGen Maintenance,Mexico City Plant,Raw Materials,Impact,1231,191,Medium,2024,3,March,Q1,Normal Risk
